2023-01-22 22:21:23 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:21:23 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:21:23 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:21:23 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:21:23 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:21:23 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:21:23 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:21:47 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:21:47 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:21:47 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:21:47 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:21:47 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:21:47 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:21:47 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:21:47 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:21:50 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:21:50 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getSongById, songId:88
